EC-DMC,EC-DRV,EC-ERV,EC-EXL,EC-HMQ,EC-JQK,EC-JSN,EC-JTJ,EC-JOB,EC-KOQ,EC-FVK,EC-MZF,F-CESI,EC-LHB,EC-MZV,EC-IHU,EC-JUO,EC-GGF,EC-MPU,EC-KRB,EC-NIK,ES-3A-096-7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:40,0,0,0,0,0,0,0,0,0,10:30,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:20,0,0,11:30,0,11:00,11:00,0
12:20,12:20,0,0,12:00,0,0,0,0,0,0,0,0,12:00,0,12:00,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13:40,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,14:00,0,0,0,0,0,0,0,14:00,14:00,0
0,0,0,0,0,0,0,0,15:30,0,0,15:00,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16:45,0,0,0,0,16:00,0,0,16:00,0,0,16:25,16:30,0,0,0,0,0
0,17:00,0,0,0,0,0,0,0,0,0,17:00,0,0,0,0,0,0,0,0,0,17:20
18:40,0,0,0,18:40,0,0,0,0,0,18:30,0,0,18:30,0,0,0,0,0,0,0,0
0,0,0,19:00,0,0,19:00,19:30,0,0,0,0,0,0,19:20,19:30,0,0,19:30,0,0,0
0,0,20:05,0,20:00,20:00,0,0,0,0,0,0,0,0,0,0,20:30,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
